10ba2017121423130_4184996623265619|不抱太大的希望，尽最大的努力，该干什么就干什么。 ​​​​
e5262017121523470_4185367609367486|你活该你 ​​​​
b9352017121500020_4185009021935037|[心]
c94b2017121518110_4185283114785519|妈呀
4e3d2017121500140_4185011848235766|转发微博
32682017121506580_4185113698743094|转发微博
f8342017121514450_4185231050689569|#搞笑# 说出来你们可能不信老师，今天我被一只狗鄙视了！卧槽，汪中大哥啊~~ O网页链接 ​​​​
35dd2017121500520_4185021600110849|晚安/ 一吃枣就停不下来，停不下来就上火，上火嗓子就发炎，病好了又想吃枣，这就是恶性循环。（对我自己感到生气） ​​​​
7cc22017121521450_4185336734989363|@Airrunny  是你的菜吗？
85a22017121510430_4185170297376065|#欠你一份年终奖# 希望中的年终奖是笔记本电脑
3fbf2017121519250_4185301578432207|在我几次卸载微博重新下回和无数次重启手机之后 终于发现原来视频右上角有个静音键… 经历了一个星期看微博视频没声音 ​​​​
aa672017121515220_4185240404176454|#荒野行动#大型演习，力争上游。这波操作只能打666分了！@荒野行动官方微博 O网易《荒野行动》官方网站 ​​​​
4cf22017121600460_4185382385353984|明天考试希望所有人都顺利通过加油！！！！ ​​​​
e2de2017121512010_4185189774591378|//@同学你该吃药了:码了！
fcde2017121509110_4185147094394138|撕家宝宝啊
ab242017121608000_4185491592464571|#寻味威海# ​​​​
e8992017121523160_4185359706961813|@甜宝儿doughnut 看来我不是捡的
d37f2017121417440_4184913764388902|我参与了@卫视剧透社 发起的投票 【2017最具人气女艺人】，我投给了“刘亦菲”这个选项。你也快来表态吧~
79272017121515010_4185235086859271|同学说最近就是在垂死挣扎，日子没有变得更好可每天都很开心 ​​​​
15e92017121603020_4185416594853263|转发微博
734a2017121518060_4185281714099404|宝宝，快点好起来吧！春天我还要带你去踏青，夏天我还要带你去海边，秋天我还要带你去看红叶，冬天我还要带你去打雪仗。你是我的一切，没你，我拥有全世界都没用！ ? ​​​​
2b2b2017121523430_4185366464548069|[爱你]
775d2017121422270_4184985138902447|要在天津启航了，每一次开始都希望能够踏实地走下去。 ​​​​
4f792017121600260_4185377365167157|千姿百态 2贵阳·龚家寨街区 ​​​​
bd102017121422480_4184990277391788|哎//@宸chen宸chen:我们真的是看着这个孩子长大的，就这么离开了，真的很难接受。。。
6c102017121511130_4185177736904013|是我
d1fe2017121510570_4185173727911896|为了让TFBOYS-易烊千玺获得热搜称号：未来可期，我在 #热搜疯狂打call# 中为TFBOYS-易烊千玺倾情投入600 call值！离成功还差15780710call值，快来与我并肩作战！ >>> O网页链接 ​​​​
be022017121518550_4185293995371284|我在小黑终于出新～～明年见。泪别
30a22017121602280_4185407992158028|转发微博
88152017121419530_4184946274291422|满分燃面的秘诀在于花生碎和饭爷|一人食 ​​​​
f17a2017121419100_4184935352820977|[汗],[汗],[汗]
7bea2017121518010_4185280426721268|#2017年度美容大赏#来看看施丹兰在这一年里都获得了什么殊荣吧~看看有没有你喜欢的产品呢~ ​​​​
ca2a2017121523210_4185361054116623|难得检验科集体吃了一顿饭 相约好元旦前在科室一起包饺子 全部放原图了懒得p ​​​​
98362017121522220_4185346255949698|最后那句话似曾相识//@跳跳可爱虎:哈哈哈哈哈哈哈哈哈哈哈哈
